"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","life_expectancy","aged_65_older","gdp","popdens","hdi","vaccine","cases","deaths","lifeexp","aged65older"
"1","Asia","Afghanistan","2021-05-19",0,54.422,0.511,1803.987,64122,2762,-0.271685178609845,-0.798071943513612,-0.791303533268912,-0.178105825350202,-0.708927771374935,-0.155065414483776,-0.235385713605391,-0.237966651574339,-0.713336673504923,-0.852280800436318
"2","Europe","Albania","2021-05-19",0,104.871,0.795,11803.431,132095,2438,0.519713378639796,0.853745432904243,-0.30320972068207,-0.15435052132661,0.519030164799145,-0.155065414483776,-0.214571985134668,-0.24328436248809,0.591483964705253,0.812236071320709
"3","Africa","Algeria","2021-05-19",0,17.348,0.748,13913.839,125896,3395,0.422372508061056,-0.232775716833418,-0.200196284451638,-0.195563141478781,0.315811773953435,-0.155065414483776,-0.216470155037277,-0.227577420066919,0.43099292550764,-0.282638465706611
"4","Europe","Andorra","2021-05-19",0,163.755,0.868,0,13569,127,0.816919823720448,-1.20000846171239,-0.87935991847264,-0.126623364750162,0.834667239942483,-0.155065414483776,-0.250865336623066,-0.281214084468576,1.0815039423737,-1.25730748526755
"5","Africa","Angola","2021-05-19",0,23.89,0.581,5819.495,31438,696,-0.48364636424876,-0.825480245413258,-0.595298174451666,-0.19248266022202,-0.406262082881324,-0.155065414483776,-0.245393744755069,-0.271875264993502,-1.06280828548552,-0.879899822726244
"6","North America","Antigua and Barbuda","2021-05-19",0,231.845,0.778,21490.943,1252,42,0.430436248819058,-0.120339387449644,0.169658037421359,-0.0945613089915459,0.445525640450697,-0.155065414483776,-0.254636873756544,-0.282609162949036,0.444288041180815,-0.169337703812713
"7","South America","Argentina","2021-05-19",10383925,16.177,0.845,18933.907,3411160,72265,0.410276896924053,0.543844746652567,0.0448437527309497,-0.196114539147944,0.735219942294582,0.105545318165425,0.789496814945521,0.902764402865193,0.411050251997878,0.499952807928941
"8","Asia","Armenia","2021-05-19",0,102.931,0.776,8787.58,221368,4357,0.319271822655171,0.549139532246816,-0.450419726836796,-0.155264023869886,0.436878049350879,-0.155065414483776,-0.187236072614008,-0.211788414205721,0.261005375114903,0.505288300871312
"9","North America","Aruba","2021-05-19",96007,584.8,0,35973.781,0,0,0.388389600580904,0.837705347133428,0.876595704805426,0.0716372941848711,-2.9183872973783,-0.152655877183627,-0.255020243448118,-0.283298495845263,0.374963509456404,0.796072666230582
"10","Oceania","Australia","2021-05-19",0,3.202,0.944,44648.71,29995,910,0.800216360721729,1.21441376926549,1.30003716510364,-0.202224176003107,1.16327570173555,-0.155065414483776,-0.245835599759016,-0.268362949760346,1.05396405990784,1.17567729645404
"11","Europe","Austria","2021-05-19",0,106.749,0.922,45436.686,639054,10508,0.690779879005986,1.79029956713418,1.33849992463976,-0.15346621319451,1.06815219963755,-0.155065414483776,-0.0593381868355027,-0.110833970284487,0.873530347200467,1.75599061706849
"12","Asia","Azerbaijan","2021-05-19",1863292,119.309,0.756,15847.419,331040,4814,0.198891692767853,-0.262831411530189,-0.105814193393209,-0.147551990543192,0.350402138352705,-0.10830141211864,-0.153653867490781,-0.204287815787252,0.0625282911367902,-0.312925234467722
"13","North America","Bahamas","2021-05-19",0,39.497,0.814,27717.847,11321,221,0.251881989177581,0.200929514930863,0.473606268340225,-0.185133673524638,0.601182280247411,-0.155065414483776,-0.251553687315285,-0.279671291796069,0.149896194131941,0.154401176778854
"14","Asia","Bahrain","2021-05-19",1519373,1935.907,0.852,43290.705,206878,773,0.445987748852348,-0.830619302019441,1.23375009574638,0.707843315184373,0.765486511143943,-0.116932925015929,-0.191672995002909,-0.270611488017086,0.469928621407654,-0.885078389405605
"15","Asia","Bangladesh","2021-05-19",0,1265.036,0.632,3523.984,783737,12248,0.175276451976561,-0.406102080551064,-0.707346875941972,0.391945189044877,-0.185748509835978,-0.155065414483776,-0.015035409610287,-0.0822758931550855,0.023592595236778,-0.457297396437785
"16","North America","Barbados","2021-05-19",0,664.463,0.814,16978.068,3975,47,0.555424230568092,1.12845136785297,-0.0506248467547854,0.109148816403972,0.601182280247411,-0.155065414483776,-0.253803075297953,-0.282527099509009,0.650362334115028,1.089053999272
"17","Europe","Belarus","2021-05-19",0,46.858,0.823,17167.967,380089,2732,0.301992378173738,1.10462483267884,-0.0413554786862779,-0.181667543513782,0.64009644019659,-0.155065414483776,-0.138634778032312,-0.238459032214501,0.232515841529529,1.06504428103133
"18","Europe","Belgium","2021-05-19",0,375.564,0.931,42658.576,1038514,24768,0.695963712350415,1.69203457566443,1.20289455481263,-0.0268872512507249,1.10706635958673,-0.155065414483776,0.0629787915958588,0.123210960672561,0.882077207276078,1.65697014510859
"19","North America","Belize","2021-05-19",0,16.426,0.716,7824.362,12753,323,0.292200692967592,-0.599984670693445,-0.497436415561917,-0.195997290625637,0.177450316356355,-0.155065414483776,-0.251115200575402,-0.277997197619517,0.216371772497816,-0.652670593886404
"20","Africa","Benin","2021-05-19",0,99.11,0.545,2064.236,8025,101,-0.447935512320464,-0.694823624425742,-0.778600234302299,-0.157063247178062,-0.561918722678038,-0.155065414483776,-0.252562941710994,-0.281640814356717,-1.00392991607575,-0.748238688060066
"21","Asia","Bhutan","2021-05-19",482214,21.188,0.654,8708.597,1322,1,0.128621951876691,-0.439272355009158,-0.454275052552861,-0.193754971496212,-0.090625007737986,-0.142963040493816,-0.254615439348868,-0.283282083157257,-0.0533291454437348,-0.490722690459115
"22","South America","Bolivia","2021-05-19",0,10.202,0.718,6885.829,337441,13635,0.113070451843401,-0.156001325716797,-0.543248177716749,-0.198928032805717,0.186097907456173,-0.155065414483776,-0.151693844011736,-0.0595114948915914,-0.0789697256705719,-0.205273818042218
"23","Europe","Bosnia and Herzegovina","2021-05-19",0,68.496,0.78,11713.895,202847,9086,0.452323545162207,1.38026514155596,-0.307580160438898,-0.171478694013049,0.454173231550514,-0.155065414483776,-0.192907310679214,-0.13417281262817,0.480374783722291,1.34280376656069
"24","Africa","Botswana","2021-05-19",0,4.044,0.735,15807.374,50800,774,0.00248200716222862,-0.586280519743622,-0.10776887374594,-0.201827697064221,0.259602431804621,-0.155065414483776,-0.239464987591929,-0.270595075329081,-0.261302740616972,-0.638861082741442
"25","South America","Brazil","2021-05-19",55098913,25.04,0.765,14103.452,15812055,441691,0.364774359789611,0.131785844229483,-0.190940876642361,-0.191941150982448,0.389316298301883,1.22778048291096,4.58672308602292,6.96603808194924,0.33602781355639,0.0847259160019968
"26","Asia","Brunei","2021-05-19",0,81.347,0.838,71809.251,235,3,0.363622396824183,-0.485056677500612,2.62580007838274,-0.16542744598024,0.70495337344522,-0.155065414483776,-0.254948285079492,-0.283249257781246,0.334128511317366,-0.536859011784331
"27","Europe","Bulgaria","2021-05-19",1191397,65.18,0.816,18563.307,415687,17416,0.316967896724313,2.03931021905199,0.0267539902456873,-0.173040124133413,0.609829871347228,-0.12516430820209,-0.12773446311167,0.00254487845683777,0.257206770636853,2.00691571162298
"28","Africa","Burkina Faso","2021-05-19",0,70.151,0.452,1703.102,13407,165,-0.458879160492039,-0.824857329460993,-0.796227941494292,-0.170699391585666,-0.96403170881955,-0.155065414483776,-0.250914941966545,-0.280590402324371,-1.02197328734649,-0.8792721176742
