"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","gdp","popdens","hdi","vaccine","cases","deaths"
"1","Asia","Afghanistan","2021-05-19",0,54.422,0.511,1803.987,64122,2762,-0.791303533268912,-0.178105825350202,-0.708927771374935,-0.155065414483776,-0.235385713605391,-0.237966651574339
"2","Europe","Albania","2021-05-19",0,104.871,0.795,11803.431,132095,2438,-0.30320972068207,-0.15435052132661,0.519030164799145,-0.155065414483776,-0.214571985134668,-0.24328436248809
"3","Africa","Algeria","2021-05-19",0,17.348,0.748,13913.839,125896,3395,-0.200196284451638,-0.195563141478781,0.315811773953435,-0.155065414483776,-0.216470155037277,-0.227577420066919
"4","Europe","Andorra","2021-05-19",0,163.755,0.868,0,13569,127,-0.87935991847264,-0.126623364750162,0.834667239942483,-0.155065414483776,-0.250865336623066,-0.281214084468576
"5","Africa","Angola","2021-05-19",0,23.89,0.581,5819.495,31438,696,-0.595298174451666,-0.19248266022202,-0.406262082881324,-0.155065414483776,-0.245393744755069,-0.271875264993502
"6","North America","Antigua and Barbuda","2021-05-19",0,231.845,0.778,21490.943,1252,42,0.169658037421359,-0.0945613089915459,0.445525640450697,-0.155065414483776,-0.254636873756544,-0.282609162949036
"7","South America","Argentina","2021-05-19",10383925,16.177,0.845,18933.907,3411160,72265,0.0448437527309497,-0.196114539147944,0.735219942294582,0.105545318165425,0.789496814945521,0.902764402865193
"8","Asia","Armenia","2021-05-19",0,102.931,0.776,8787.58,221368,4357,-0.450419726836796,-0.155264023869886,0.436878049350879,-0.155065414483776,-0.187236072614008,-0.211788414205721
"9","North America","Aruba","2021-05-19",96007,584.8,0,35973.781,0,0,0.876595704805426,0.0716372941848711,-2.9183872973783,-0.152655877183627,-0.255020243448118,-0.283298495845263
"10","Oceania","Australia","2021-05-19",0,3.202,0.944,44648.71,29995,910,1.30003716510364,-0.202224176003107,1.16327570173555,-0.155065414483776,-0.245835599759016,-0.268362949760346
"11","Europe","Austria","2021-05-19",0,106.749,0.922,45436.686,639054,10508,1.33849992463976,-0.15346621319451,1.06815219963755,-0.155065414483776,-0.0593381868355027,-0.110833970284487
"12","Asia","Azerbaijan","2021-05-19",1863292,119.309,0.756,15847.419,331040,4814,-0.105814193393209,-0.147551990543192,0.350402138352705,-0.10830141211864,-0.153653867490781,-0.204287815787252
"13","North America","Bahamas","2021-05-19",0,39.497,0.814,27717.847,11321,221,0.473606268340225,-0.185133673524638,0.601182280247411,-0.155065414483776,-0.251553687315285,-0.279671291796069
"14","Asia","Bahrain","2021-05-19",1519373,1935.907,0.852,43290.705,206878,773,1.23375009574638,0.707843315184373,0.765486511143943,-0.116932925015929,-0.191672995002909,-0.270611488017086
"15","Asia","Bangladesh","2021-05-19",0,1265.036,0.632,3523.984,783737,12248,-0.707346875941972,0.391945189044877,-0.185748509835978,-0.155065414483776,-0.015035409610287,-0.0822758931550855
"16","North America","Barbados","2021-05-19",0,664.463,0.814,16978.068,3975,47,-0.0506248467547854,0.109148816403972,0.601182280247411,-0.155065414483776,-0.253803075297953,-0.282527099509009
"17","Europe","Belarus","2021-05-19",0,46.858,0.823,17167.967,380089,2732,-0.0413554786862779,-0.181667543513782,0.64009644019659,-0.155065414483776,-0.138634778032312,-0.238459032214501
"18","Europe","Belgium","2021-05-19",0,375.564,0.931,42658.576,1038514,24768,1.20289455481263,-0.0268872512507249,1.10706635958673,-0.155065414483776,0.0629787915958588,0.123210960672561
"19","North America","Belize","2021-05-19",0,16.426,0.716,7824.362,12753,323,-0.497436415561917,-0.195997290625637,0.177450316356355,-0.155065414483776,-0.251115200575402,-0.277997197619517
"20","Africa","Benin","2021-05-19",0,99.11,0.545,2064.236,8025,101,-0.778600234302299,-0.157063247178062,-0.561918722678038,-0.155065414483776,-0.252562941710994,-0.281640814356717
"21","Asia","Bhutan","2021-05-19",482214,21.188,0.654,8708.597,1322,1,-0.454275052552861,-0.193754971496212,-0.090625007737986,-0.142963040493816,-0.254615439348868,-0.283282083157257
"22","South America","Bolivia","2021-05-19",0,10.202,0.718,6885.829,337441,13635,-0.543248177716749,-0.198928032805717,0.186097907456173,-0.155065414483776,-0.151693844011736,-0.0595114948915914
"23","Europe","Bosnia and Herzegovina","2021-05-19",0,68.496,0.78,11713.895,202847,9086,-0.307580160438898,-0.171478694013049,0.454173231550514,-0.155065414483776,-0.192907310679214,-0.13417281262817
"24","Africa","Botswana","2021-05-19",0,4.044,0.735,15807.374,50800,774,-0.10776887374594,-0.201827697064221,0.259602431804621,-0.155065414483776,-0.239464987591929,-0.270595075329081
"25","South America","Brazil","2021-05-19",55098913,25.04,0.765,14103.452,15812055,441691,-0.190940876642361,-0.191941150982448,0.389316298301883,1.22778048291096,4.58672308602292,6.96603808194924
"26","Asia","Brunei","2021-05-19",0,81.347,0.838,71809.251,235,3,2.62580007838274,-0.16542744598024,0.70495337344522,-0.155065414483776,-0.254948285079492,-0.283249257781246
"27","Europe","Bulgaria","2021-05-19",1191397,65.18,0.816,18563.307,415687,17416,0.0267539902456873,-0.173040124133413,0.609829871347228,-0.12516430820209,-0.12773446311167,0.00254487845683777
"28","Africa","Burkina Faso","2021-05-19",0,70.151,0.452,1703.102,13407,165,-0.796227941494292,-0.170699391585666,-0.96403170881955,-0.155065414483776,-0.250914941966545,-0.280590402324371
"29","Africa","Burundi","2021-05-19",0,423.062,0.433,702.225,4382,6,-0.84508284491297,-0.00452150702363235,-1.04618382426782,-0.155065414483776,-0.25367844952761,-0.28320001971723
"30","Asia","Cambodia","2021-05-19",3503884,90.672,0.594,3645.07,23282,159,-0.701436414581231,-0.161036512363716,-0.35005274073251,-0.0671266267558396,-0.24789115945513,-0.280688878452404
"31","Africa","Cameroon","2021-05-19",0,50.885,0.563,3364.926,77429,1189,-0.715110830182072,-0.179771319420083,-0.484090402779681,-0.155065414483776,-0.231311032706212,-0.263783809806838
"32","North America","Canada","2021-05-19",19444593,4.037,0.929,44017.591,1350897,25050,1.26923092438605,-0.201830993207418,1.09841876848692,0.332945585961194,0.158632285495934,0.127839338690085
"33","Africa","Cape Verde","2021-05-19",0,135.58,0.665,6222.554,28699,253,-0.575624020167943,-0.139890341119658,-0.0430632566889899,-0.155065414483776,-0.246232442506843,-0.279146085779896
"34","North America","Cayman Islands","2021-05-19",75284,256.496,0,49903.029,0,0,1.55651148440154,-0.0829537052831359,-2.9183872973783,-0.153175973025295,-0.255020243448118,-0.283298495845263
"35","Africa","Central African Republic","2021-05-19",0,7.479,0.397,661.24,7010,96,-0.8470834086352,-0.200210232509501,-1.20184046406453,-0.155065414483776,-0.252873740622293,-0.281722877796744
"36","Africa","Chad","2021-05-19",0,11.833,0.398,1768.153,4914,173,-0.79305266588871,-0.198160031440725,-1.19751666851462,-0.155065414483776,-0.253515548029273,-0.280459100820328
"37","South America","Chile","2021-05-19",0,24.282,0.851,22767.037,1300629,27997,0.231946859247773,-0.192298076202966,0.761162715594034,-0.155065414483776,0.143239931138082,0.176207530242008
"38","Asia","China","2021-05-19",449511000,147.674,0.761,15308.712,102797,4846,-0.132109610768137,-0.134195547429767,0.372021116102248,11.1265444819547,-0.223543203364483,-0.203762609771079
"39","South America","Colombia","2021-05-19",0,44.223,0.767,13254.949,3161126,82743,-0.232358085865331,-0.1829083059888,0.397963889401701,-0.155065414483776,0.712934947962326,1.07473654778581
"40","Africa","Comoros","2021-05-19",0,437.352,0.554,1413.89,3864,146,-0.810344985174507,0.00220733387504027,-0.523004562728859,-0.155065414483776,-0.253837064144411,-0.280902243396474
